,SIC Code,Office,Industry Title
195,3677,Office of Manufacturing,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS"
196,3678,Office of Manufacturing,ELECTRONIC CONNECTORS
197,3679,Office of Manufacturing,"ELECTRONIC COMPONENTS, NEC"
198,3690,Office of Manufacturing,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES"
199,3695,Office of Manufacturing,MAGNETIC & OPTICAL RECORDING MEDIA
200,3711,Office of Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
201,3713,Office of Manufacturing,TRUCK & BUS BODIES
202,3714,Office of Manufacturing,MOTOR VEHICLE PARTS & ACCESSORIES
203,3715,Office of Manufacturing,TRUCK TRAILERS
204,3716,Office of Manufacturing,MOTOR HOMES
205,3720,Office of Manufacturing,AIRCRAFT & PARTS
206,3721,Office of Manufacturing,AIRCRAFT
207,3724,Office of Manufacturing,AIRCRAFT ENGINES & ENGINE PARTS
208,3728,Office of Manufacturing,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC"
209,3730,Office of Manufacturing,SHIP & BOAT BUILDING & REPAIRING
210,3743,Office of Manufacturing,RAILROAD EQUIPMENT
211,3751,Office of Manufacturing,"MOTORCYCLES, BICYCLES & PARTS"
212,3760,Office of Manufacturing,GUIDED MISSILES & SPACE VEHICLES & PARTS
213,3790,Office of Manufacturing,MISCELLANEOUS TRANSPORTATION EQUIPMENT
214,3812,Office of Manufacturing,"SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"
215,3821,Office of Life Sciences,LABORATORY APPARATUS & FURNITURE
216,3822,Office of Life Sciences,AUTO CONTROLS FOR REGULATING RESIDENTIAL & COMML ENVIRONMENTS
217,3823,Office of Life Sciences,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
218,3824,Office of Life Sciences,TOTALIZING FLUID METERS & COUNTING DEVICES
219,3825,Office of Life Sciences,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
220,3826,Office of Life Sciences,LABORATORY ANALYTICAL INSTRUMENTS
221,3827,Office of Life Sciences,OPTICAL INSTRUMENTS & LENSES
222,3829,Office of Life Sciences,"MEASURING & CONTROLLING DEVICES, NEC"
223,3841,Office of Life Sciences,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
224,3842,Office of Life Sciences,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
225,3843,Office of Life Sciences,DENTAL EQUIPMENT & SUPPLIES
226,3844,Office of Life Sciences,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS
227,3845,Office of Life Sciences,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
228,3851,Office of Life Sciences,OPHTHALMIC GOODS
229,3861,Office of Life Sciences,PHOTOGRAPHIC EQUIPMENT & SUPPLIES
230,3873,Office of Life Sciences,"WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES/PARTS"
231,3910,Office of Manufacturing,"JEWELRY, SILVERWARE & PLATED WARE"
232,3911,Office of Manufacturing,"JEWELRY, PRECIOUS METAL"
233,3931,Office of Manufacturing,MUSICAL INSTRUMENTS
234,3942,Office of Manufacturing,DOLLS & STUFFED TOYS
235,3944,Office of Manufacturing,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)"
236,3949,Office of Manufacturing,"SPORTING & ATHLETIC GOODS, NEC"
237,3950,Office of Manufacturing,"PENS, PENCILS & OTHER ARTISTS' MATERIALS"
238,3960,Office of Manufacturing,COSTUME JEWELRY & NOVELTIES
239,3990,Office of Manufacturing,MISCELLANEOUS MANUFACTURING INDUSTRIES
240,4011,Office of Energy & Transportation,"RAILROADS, LINE-HAUL OPERATING"
241,4013,Office of Energy & Transportation,RAILROAD SWITCHING & TERMINAL ESTABLISHMENTS
